timestamp,dist,bend
 1702642213.9198463, 5.959999999999994, -7.849999999999994
 1702642215.9264987, 5.8799999999999955, 2.1500000000000057
 1702642217.9524577, 5.859999999999999, 4.150000000000006
 1702642219.9680479, 5.849999999999994, 6.150000000000006
 1702642221.9989407, 5.829999999999998, 8.150000000000006
 1702642224.019574, 5.819999999999993, 10.150000000000006
 1702642227.0463862, 5.819999999999993, 10.150000000000006
 1702642229.0530872, 10.379999999999995, 2.1699999999999875
 1702642231.0841455, 10.36, 4.1699999999999875
 1702642233.0946567, 10.349999999999994, 6.1699999999999875
 1702642235.120297, 10.329999999999998, 8.169999999999987
 1702642237.1459837, 10.310000000000002, 10.169999999999987
 1702642240.1674533, 10.310000000000002, 10.169999999999987
 1702642242.1741, 14.879999999999995, 2.1899999999999977
 1702642244.200252, 14.86, 4.189999999999998
 1702642246.216064, 14.849999999999994, 6.189999999999998
 1702642248.2468767, 14.829999999999998, 8.189999999999998
 1702642250.283043, 14.810000000000002, 10.189999999999998
 1702642253.2943385, 14.810000000000002, 10.189999999999998
 1702642255.3010268, 19.379999999999995, 2.210000000000008
 1702642257.3321364, 19.36, 4.210000000000008
 1702642259.3680863, 19.349999999999994, 6.210000000000008
 1702642261.39385, 19.33, 8.210000000000008
 1702642263.4095538, 19.310000000000002, 10.210000000000008
 1702642266.4360185, 19.310000000000002, 10.210000000000008
 1702642268.4427595, 23.879999999999995, 2.2299999999999898
 1702642270.4738984, 23.86, 4.22999999999999
 1702642272.509981, 23.849999999999994, 6.22999999999999
 1702642274.5362666, 23.83, 8.22999999999999
 1702642276.5470781, 23.810000000000002, 10.22999999999999
 1702642279.5734782, 23.810000000000002, 10.22999999999999
 1702642281.580304, 28.379999999999995, 2.25
 1702642283.6061025, 28.36, 4.25
 1702642285.6268268, 28.349999999999994, 6.25
 1702642287.657681, 28.33, 8.25
 1702642289.683622, 28.310000000000002, 10.25
 1702642292.7099788, 28.310000000000002, 10.25
 1702642294.7167315, 32.879999999999995, 2.2700000000000102
 1702642296.732316, 32.86, 4.27000000000001
 1702642298.7580884, 32.849999999999994, 6.27000000000001
 1702642300.7890756, 32.83, 8.27000000000001
 1702642302.8048086, 32.81, 10.27000000000001
